TOTAL	\.connect\(	QShortcut\(	create_shortcut\(	QTimer\(	timeout\.connect	QTimer\.timeout	singleShot	QMetaObject\.invokeMethod
TOTAL	1211	18	35	24	24	0	87	2
Supervertaler.py	765	8	35	15	15	0	67	2
modules/ai_file_viewer_dialog.py	4	0	0	0	0	0	0	0
modules/chat_view_widget.py	22	0	0	1	1	0	0	0
modules/clipboard_manager_widget.py	19	0	0	3	3	0	2	0
modules/database_manager.py	2	0	0	0	0	0	0	0
modules/database_migrations.py	1	0	0	0	0	0	0	0
modules/dialogs/advanced_filters.py	3	0	0	0	0	0	0	0
modules/dialogs/detached_log.py	1	0	0	0	0	0	0	0
modules/dialogs/live_progress.py	2	0	0	1	1	0	0	0
modules/dialogs/scratchpad.py	2	0	0	0	0	0	0	0
modules/dialogs/theme_editor.py	7	0	0	0	0	0	0	0
modules/dictation_toast.py	1	0	0	0	0	0	0	0
modules/extract_tm.py	2	0	0	0	0	0	0	0
modules/find_replace_qt.py	10	0	0	0	0	0	0	0
modules/keyboard_shortcuts_widget.py	14	0	0	0	0	0	0	0
modules/local_llm_setup.py	15	0	0	0	0	0	1	0
modules/merge_prompt_dialog.py	4	0	0	0	0	0	0	0
modules/pdf_rescue_Qt.py	12	0	0	0	0	0	0	0
modules/platform_helpers.py	0	0	0	0	0	0	1	0
modules/project_home_panel.py	2	0	0	0	0	0	0	0
modules/project_tm.py	1	0	0	0	0	0	0	0
modules/pseudo_translate_dialog.py	2	0	0	0	0	0	0	0
modules/quick_access_sidebar.py	8	0	0	0	0	0	0	0
modules/quicktrans.py	31	6	0	1	1	0	4	0
modules/ribbon_widget.py	4	0	0	0	0	0	0	0
modules/sdltm_handler.py	1	0	0	0	0	0	0	0
modules/settings_sidebar.py	1	0	0	0	0	0	0	0
modules/statistics_analyzer.py	1	0	0	0	0	0	0	0
modules/statistics_dialog_qt.py	9	0	0	0	0	0	0	0
modules/styled_widgets.py	1	0	0	0	0	0	0	0
modules/superbrowser.py	6	0	0	0	0	0	0	0
modules/superdocs_viewer_qt.py	4	0	0	0	0	0	0	0
modules/term_picker_dialog.py	6	0	0	0	0	0	0	0
modules/termbase_entry_editor.py	20	0	0	0	0	0	1	0
modules/termlens_popup.py	4	1	0	1	1	0	6	0
modules/termlens_widget.py	18	0	0	1	1	0	1	0
modules/tm_editor_dialog.py	1	0	0	0	0	0	0	0
modules/tm_manager_qt.py	19	0	0	0	0	0	0	0
modules/tmx_editor_qt.py	65	0	0	0	0	0	0	0
modules/trados_bridge_client.py	2	0	0	1	1	0	1	0
modules/translation_memory.py	1	0	0	0	0	0	0	0
modules/translation_results_panel.py	16	0	0	0	0	0	0	0
modules/unified_prompt_manager_qt.py	48	0	0	0	0	0	0	0
modules/usage_report_dialog.py	5	0	0	0	0	0	0	0
modules/voice_command_dialog.py	4	0	0	0	0	0	0	0
modules/voice_commands.py	5	0	0	0	0	0	1	0
modules/voice_dictation.py	11	3	0	0	0	0	0	0
modules/voice_tab.py	24	0	0	0	0	0	0	0
modules/workers/tm_search.py	1	0	0	0	0	0	0	0
scripts/migrations/add_termbase_readonly_field.py	1	0	0	0	0	0	0	0
scripts/migrations/fix_null_termbase_priorities.py	1	0	0	0	0	0	0	0
scripts/migrations/set_tms_readonly_by_default.py	1	0	0	0	0	0	0	0
scripts/sv_tm_diagnose.py	1	0	0	0	0	0	0	0
tools/batch_validation/counts.py	0	0	0	0	0	0	2	0
