TOTAL	\.connect\(	QShortcut\(	create_shortcut\(	QTimer\(	timeout\.connect	QTimer\.timeout	singleShot	QMetaObject\.invokeMethod
TOTAL	1211	18	35	24	24	0	87	2
assets/generate_icons.py	0	0	0	0	0	0	0	0
modules/__init__.py	0	0	0	0	0	0	0	0
modules/ai_actions.py	0	0	0	0	0	0	0	0
modules/ai_attachment_manager.py	0	0	0	0	0	0	0	0
modules/ai_file_viewer_dialog.py	4	0	0	0	0	0	0	0
modules/autocorrect.py	0	0	0	0	0	0	0	0
modules/autostart.py	0	0	0	0	0	0	0	0
modules/batch_offload.py	0	0	0	0	0	0	0	0
modules/bilingual_markdown_handler.py	0	0	0	0	0	0	0	0
modules/cafetran_docx_handler.py	0	0	0	0	0	0	0	0
modules/chat_backend.py	0	0	0	0	0	0	0	0
modules/chat_message_delegate.py	0	0	0	0	0	0	0	0
modules/chat_view_widget.py	22	0	0	1	1	0	0	0
modules/clipboard_manager_widget.py	19	0	0	3	3	0	2	0
modules/config_manager.py	0	0	0	0	0	0	0	0
modules/database_manager.py	2	0	0	0	0	0	0	0
modules/database_migrations.py	1	0	0	0	0	0	0	0
modules/dejavurtf_handler.py	0	0	0	0	0	0	0	0
modules/dialogs/__init__.py	0	0	0	0	0	0	0	0
modules/dialogs/advanced_filters.py	3	0	0	0	0	0	0	0
modules/dialogs/detached_log.py	1	0	0	0	0	0	0	0
modules/dialogs/import_progress.py	0	0	0	0	0	0	0	0
modules/dialogs/live_progress.py	2	0	0	1	1	0	0	0
modules/dialogs/scratchpad.py	2	0	0	0	0	0	0	0
modules/dialogs/theme_editor.py	7	0	0	0	0	0	0	0
modules/dictation_toast.py	1	0	0	0	0	0	0	0
modules/document_analyzer.py	0	0	0	0	0	0	0	0
modules/docx_comments.py	0	0	0	0	0	0	0	0
modules/docx_handler.py	0	0	0	0	0	0	0	0
modules/event_filters.py	0	0	0	0	0	0	0	0
modules/extract_tm.py	2	0	0	0	0	0	0	0
modules/feature_manager.py	0	0	0	0	0	0	0	0
modules/figure_context_manager.py	0	0	0	0	0	0	0	0
modules/file_dialog_helper.py	0	0	0	0	0	0	0	0
modules/find_replace.py	0	0	0	0	0	0	0	0
modules/find_replace_qt.py	10	0	0	0	0	0	0	0
modules/glossary_manager.py	0	0	0	0	0	0	0	0
modules/help_system.py	0	0	0	0	0	0	0	0
modules/i18n.py	0	0	0	0	0	0	0	0
modules/identifier_conventions.py	0	0	0	0	0	0	0	0
modules/image_extractor.py	0	0	0	0	0	0	0	0
modules/keyboard_shortcuts_widget.py	14	0	0	0	0	0	0	0
modules/lang_detect.py	0	0	0	0	0	0	0	0
modules/language_codes.py	0	0	0	0	0	0	0	0
modules/llm_clients.py	0	0	0	0	0	0	0	0
modules/llm_pricing.py	0	0	0	0	0	0	0	0
modules/local_llm_setup.py	15	0	0	0	0	0	1	0
modules/memoqrtf_handler.py	0	0	0	0	0	0	0	0
modules/merge_prompt_dialog.py	4	0	0	0	0	0	0	0
modules/mic_devices.py	0	0	0	0	0	0	0	0
modules/models.py	0	0	0	0	0	0	0	0
modules/mqxliff_handler.py	0	0	0	0	0	0	0	0
modules/okapi_sidecar.py	0	0	0	0	0	0	0	0
modules/pdf_rescue_Qt.py	12	0	0	0	0	0	0	0
modules/pdf_rescue_tkinter.py	0	0	0	0	0	0	0	0
modules/phrase_docx_handler.py	0	0	0	0	0	0	0	0
modules/platform_helpers.py	0	0	0	0	0	0	1	0
modules/po_handler.py	0	0	0	0	0	0	0	0
modules/project_assets.py	0	0	0	0	0	0	0	0
modules/project_home_panel.py	2	0	0	0	0	0	0	0
modules/project_tm.py	1	0	0	0	0	0	0	0
modules/prompt_assistant.py	0	0	0	0	0	0	0	0
modules/prompt_library.py	0	0	0	0	0	0	0	0
modules/prompt_library_migration.py	0	0	0	0	0	0	0	0
modules/pseudo_translate.py	0	0	0	0	0	0	0	0
modules/pseudo_translate_dialog.py	2	0	0	0	0	0	0	0
modules/quick_access_sidebar.py	8	0	0	0	0	0	0	0
modules/quicktrans.py	31	6	0	1	1	0	4	0
modules/ribbon_widget.py	4	0	0	0	0	0	0	0
modules/sdlppx_handler.py	0	0	0	0	0	0	0	0
modules/sdltm_handler.py	1	0	0	0	0	0	0	0
modules/segment_split_merge.py	0	0	0	0	0	0	0	0
modules/settings_sidebar.py	1	0	0	0	0	0	0	0
modules/setup_wizard.py	0	0	0	0	0	0	0	0
modules/shortcut_display.py	0	0	0	0	0	0	0	0
modules/shortcut_manager.py	0	0	0	0	0	0	0	0
modules/simple_segmenter.py	0	0	0	0	0	0	0	0
modules/snippet_library.py	0	0	0	0	0	0	0	0
modules/spellcheck_manager.py	0	0	0	0	0	0	0	0
modules/statistics_analyzer.py	1	0	0	0	0	0	0	0
modules/statistics_dialog_qt.py	9	0	0	0	0	0	0	0
modules/statuses.py	0	0	0	0	0	0	0	0
modules/style_guide_manager.py	0	0	0	0	0	0	0	0
modules/styled_widgets.py	1	0	0	0	0	0	0	0
modules/superbrowser.py	6	0	0	0	0	0	0	0
modules/superdocs.py	0	0	0	0	0	0	0	0
modules/superdocs_viewer_qt.py	4	0	0	0	0	0	0	0
modules/superlookup.py	0	0	0	0	0	0	0	0
modules/supervertaler_bridge_server.py	0	0	0	0	0	0	0	0
modules/tag_manager.py	0	0	0	0	0	0	0	0
modules/term_picker_dialog.py	6	0	0	0	0	0	0	0
modules/termbase_entry_editor.py	20	0	0	0	0	0	1	0
modules/termbase_import_export.py	0	0	0	0	0	0	0	0
modules/termbase_manager.py	0	0	0	0	0	0	0	0
modules/termlens_popup.py	4	1	0	1	1	0	6	0
modules/termlens_widget.py	18	0	0	1	1	0	1	0
modules/text_conversion_library.py	0	0	0	0	0	0	0	0
modules/theme_manager.py	0	0	0	0	0	0	0	0
modules/tm_editor_dialog.py	1	0	0	0	0	0	0	0
modules/tm_manager_qt.py	19	0	0	0	0	0	0	0
modules/tm_metadata_manager.py	0	0	0	0	0	0	0	0
modules/tmx_editor.py	0	0	0	0	0	0	0	0
modules/tmx_editor_qt.py	65	0	0	0	0	0	0	0
modules/tmx_generator.py	0	0	0	0	0	0	0	0
modules/tracked_changes.py	0	0	0	0	0	0	0	0
modules/trados_bridge_client.py	2	0	0	1	1	0	1	0
modules/trados_docx_handler.py	0	0	0	0	0	0	0	0
modules/translation_memory.py	1	0	0	0	0	0	0	0
modules/translation_results_panel.py	16	0	0	0	0	0	0	0
modules/translation_services.py	0	0	0	0	0	0	0	0
modules/ui_scale.py	0	0	0	0	0	0	0	0
modules/unified_prompt_library.py	0	0	0	0	0	0	0	0
modules/unified_prompt_manager_qt.py	48	0	0	0	0	0	0	0
modules/usage_log.py	0	0	0	0	0	0	0	0
modules/usage_report_dialog.py	5	0	0	0	0	0	0	0
modules/usage_statistics.py	0	0	0	0	0	0	0	0
