=== CLUSTER pagination area: methods overlapping 28150-28940 ===
create_grid_view_widget_for_home               27365- 28248 lines=884
_maybe_auto_set_page_size                      28266- 28301 lines=36
_get_total_pages                               28303- 28310 lines=8
_update_pagination_ui                          28312- 28372 lines=61
_apply_pagination_to_grid                      28374- 28495 lines=122
_start_background_populate                     28517- 28567 lines=51
_background_populate_step                      28569- 28611 lines=43
go_to_first_page                               28613- 28619 lines=7
go_to_prev_page                                28621- 28627 lines=7
go_to_next_page                                28629- 28636 lines=8
select_range_page_up                           28638- 28670 lines=33
select_range_page_down                         28672- 28705 lines=34
_select_range_between                          28707- 28726 lines=20
_clear_selection_anchor                        28728- 28731 lines=4
go_to_last_page                                28733- 28740 lines=8
go_to_page                                     28742- 28761 lines=20
on_page_size_changed                           28763- 28785 lines=23
_widget_is_alive                               28787- 28794 lines=8
_switch_main_tab                               28815- 28826 lines=12
_switch_settings_subtab                        28828- 28840 lines=13
_get_line_edit_text                            28842- 28848 lines=7
_ensure_shared_filter                          28850- 28863 lines=14
_ensure_primary_filters_ready                  28865- 28878 lines=14
_build_warning_banner                          28880- 28910 lines=31
_get_warning_banner                            28912- 28920 lines=9
create_translation_grid                        28922- 29082 lines=161

=== CLUSTER filters area: methods overlapping 52150-53820 ===
search_segments                                52150- 52184 lines=35
_highlight_text_in_widget                      52186- 52225 lines=40
_clear_filter_highlights_in_widget             52227- 52265 lines=39
apply_filters                                  52267- 52359 lines=93
clear_filters                                  52361- 52484 lines=124
_on_file_filter_changed                        52486- 52549 lines=64
_update_file_filter_combo                      52551- 52592 lines=42
show_manage_views_dialog                       52594- 52761 lines=168
toggle_invisible_display                       52763- 52791 lines=29
toggle_all_invisibles                          52793- 52832 lines=40
refresh_grid_invisibles                        52834- 52945 lines=112
_refresh_source_column_display                 52947- 52960 lines=14
apply_invisible_replacements                   52962- 52995 lines=34
reverse_invisible_replacements                 52997- 53036 lines=40
_update_spellcheck_button_style                53042- 53048 lines=7
_toggle_spellcheck                             53050- 53096 lines=47
_toggle_spellcheck_from_button                 53098- 53141 lines=44
_save_spellcheck_settings                      53143- 53152 lines=10
_load_spellcheck_settings                      53154- 53161 lines=8
_refresh_all_highlighters                      53163- 53198 lines=36
_open_custom_dictionary_dialog                 53200- 53251 lines=52
_save_custom_dictionary                        53253- 53271 lines=19
_show_spellcheck_info                          53273- 53501 lines=229
_open_folder_in_explorer                       53503- 53518 lines=16
filter_empty_segments                          53520- 53562 lines=43
_clear_all_filter_highlights                   53564- 53574 lines=11
apply_quick_filter                             53576- 53637 lines=62
_update_bulk_menu_label                        53639- 53665 lines=27
show_advanced_filters_dialog                   53667- 53676 lines=10
apply_advanced_filters                         53678- 53754 lines=77
apply_sort                                     53756- 53901 lines=146

