| tier | метод | строки | строк |
|---|---|---|---|
| A | `_get_settings_dir` | 44639–44641 | 3 |
| A | `_get_unified_settings_path` | 44643–44645 | 3 |
| A | `_load_unified_settings` | 44647–44661 | 15 |
| A | `_save_unified_settings` | 44663–44672 | 10 |
| A | `_load_settings_section` | 44674–44676 | 3 |
| A | `_save_settings_section` | 44678–44682 | 5 |
| B | `load_general_settings` | 44522–44618 | 97 |
| B | `_load_general_settings_from_file` | 44883–44922 | 40 |
| B | `save_general_settings` | 44924–44929 | 6 |
| B | `load_clipboard_privacy_settings` | 44690–44699 | 10 |
| B | `save_clipboard_privacy_settings` | 44701–44722 | 22 |
| B | `_migrate_settings_to_unified` | 44724–44814 | 91 |
| B | `_migrate_to_workbench_layout` | 44816–44881 | 66 |
| B | `_migrate_voice_dictation_default_off` | 45143–45174 | 32 |
| B | `load_dictation_settings` | 44931–44946 | 16 |
| B | `save_dictation_settings` | 44948–45002 | 55 |
| B | `_load_language_pair_from_disk` | 45004–45021 | 18 |
| B | `load_voice_vocabulary_settings` | 45029–45067 | 39 |
| B | `save_voice_vocabulary_settings` | 45069–45092 | 24 |
| B | `load_language_settings` | 45228–45249 | 22 |
| B | `save_language_settings` | 45251–45261 | 11 |
| B | `_save_spellcheck_settings` | 52262–52271 | 10 |
| B | `_load_spellcheck_settings` | 52273–52280 | 8 |
| B | `load_llm_settings` | 56987–57025 | 39 |
| B | `save_llm_settings` | 57027–57034 | 8 |
| B | `load_proxy_settings` | 57040–57056 | 17 |
| B | `save_proxy_settings` | 57058–57065 | 8 |
| B | `_get_proxy_url` | 57067–57089 | 23 |
| B | `_get_proxy_dict` | 57091–57098 | 8 |
| B | `load_provider_enabled_states` | 57283–57309 | 27 |
| B | `save_provider_enabled_states` | 57311–57318 | 8 |
| B | `load_api_keys` | 61235–61243 | 9 |
| B | `save_api_keys` | 61245–61247 | 3 |
| B | `load_recent_projects` | 32306–32368 | 63 |
| B | `save_recent_projects` | 32370–32380 | 11 |
| C | `get_autocorrect_settings` | 44620–44631 | 12 |
| C | `add_to_recent_projects` | 32238–32288 | 51 |
